Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
ABCAPITAL-I.NFO,12/09/2022,10:40:52,116.8,116.8,5400,116.9,5400,0,23911200
ABCAPITAL-I.NFO,12/09/2022,10:41:17,116.8,116.75,5400,116.9,5400,10800,23900400
ABCAPITAL-I.NFO,12/09/2022,10:41:42,116.8,116.75,10800,116.9,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:42:19,116.8,116.75,10800,116.85,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:43:07,116.8,116.75,16200,116.85,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:44:01,116.8,116.8,10800,116.85,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:46:06,116.8,116.65,5400,116.8,5400,27000,23889600
ABCAPITAL-I.NFO,12/09/2022,10:46:25,116.8,116.65,5400,116.8,16200,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:46:42,116.75,116.6,10800,116.8,5400,21600,23889600
ABCAPITAL-I.NFO,12/09/2022,10:46:59,116.75,116.65,5400,116.8,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:47:15,116.75,116.65,16200,116.85,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:47:50,116.75,116.7,5400,116.85,10800,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:48:22,116.75,116.7,5400,116.8,10800,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:48:38,116.75,116.7,10800,116.75,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:48:54,116.75,116.7,10800,116.85,5400,0,23889600
ABCAPITAL-I.NFO,12/09/2022,10:50:37,116.7,116.65,5400,116.85,5400,10800,23900400
ABCAPITAL-I.NFO,12/09/2022,10:50:53,116.7,116.65,21600,116.8,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:51:07,116.7,116.75,5400,116.8,5400,0,23900400
ABCAPITAL-I.NFO,12/09/2022,10:51:38,116.7,116.75,5400,116.85,5400,0,23900400
